venue,pool,created_at,locked_liquidity_percentage,basis,admin_change_risk,earliest_unlock_at,reasons
uniswap-v3,0xAee5f24C193652eC1c5ae1a96f52b8Cb4a55e4Ba,2026-09-21T08:16:25+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x7F5DB09A67357E51092CCd222737e5B0c09370e2,2026-09-21T08:16:25+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x5b188C047Cad2aee119e45906cf3DA925631664F,2026-09-21T08:16:21+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x1eD89B10AdA0813b6981B5113b0C671436A6d6ED,2026-09-21T08:16:21+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0xC895Cdb76E0AD95bB8e613cedC890Fa19b5258fc,2026-09-21T08:16:19+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
aerodrome,0xba46937207904e2b1569E39a92161C4aBAe79EE4,2026-09-21T08:04:23+00:00,0,core_rpc_inspection,,,[]
aerodrome,0x197A0913aCC071cc6D0B5611A72b65F5838797eE,2026-09-21T06:10:53+00:00,100,manual_review_current_configuration,True,2106-02-07T06:28:15+00:00,[]
aerodrome,0xe74e3f51364Ceb93F4b1263F47cf21FAaA059F00,2026-09-21T06:10:05+00:00,100,manual_review_current_configuration,True,2106-02-07T06:28:15+00:00,[]
aerodrome,0x0aF4E6Ee8CDE410EB0779Ab327B1e5Dd620a3f06,2026-09-21T06:10:01+00:00,0,core_rpc_inspection,,,[]
aerodrome,0x55B50B7C233F3e2668cCa0F18e5CAc361ed46592,2026-09-21T05:01:55+00:00,,core_rpc_inspection,,,['inspection_incomplete']
aerodrome,0x7a60a4326e0a1ffbE244552Bb9eCE761c2136F48,2026-09-21T01:36:53+00:00,,core_rpc_inspection,,,['inspection_incomplete']
aerodrome,0x8C8A812aB3765286a9940114e546C109936E0EF1,2026-09-20T16:50:53+00:00,100,manual_review_current_configuration,True,2106-02-07T06:28:15+00:00,[]
aerodrome,0xc1a3dd634d9C6e03039470c027738aE8492b127f,2026-09-20T16:49:43+00:00,100,manual_review_current_configuration,True,2106-02-07T06:28:15+00:00,[]
aerodrome,0xb900C8565bEDfB52B4B9ec4e7f460889af64026A,2026-09-20T16:40:57+00:00,0,core_rpc_inspection,,,[]
aerodrome,0x2a7bc428a1b986Ed5938a11878224DdB52039Ac0,2026-09-20T12:39:41+00:00,,core_rpc_inspection,,,['inspection_incomplete']
aerodrome,0xb0Bc332F85Ab53F3A74A0e5cD713E373528eBB2e,2026-09-20T10:58:31+00:00,100,manual_review_current_configuration,True,2106-02-07T06:28:15+00:00,[]
aerodrome,0x39F197dc4c4ADEA97A4fd478e2015930AC2Efbf1,2026-09-20T10:57:45+00:00,100,manual_review_current_configuration,True,2106-02-07T06:28:15+00:00,[]
aerodrome,0x97398cD4282af7a7Eb29ca6f3D2C116a7E05f151,2026-09-20T08:27:07+00:00,0,core_rpc_inspection,,,[]
aerodrome,0x66DB18a72a1B077AA8719de617F905bdaBeb8dDF,2026-09-20T07:14:17+00:00,0,core_rpc_inspection,,,[]
aerodrome,0x7bC91Be1891A2c902014925C33d20E573ea6A735,2026-09-20T07:11:27+00:00,0,core_rpc_inspection,,,[]
aerodrome,0xd91bC8E3Ed133284215A39dAa36D3b9C3F6a50f9,2026-09-20T07:09:53+00:00,0,core_rpc_inspection,,,[]
aerodrome,0x8967DfD611Ac87C9222dD7064fb8a65539C77498,2026-09-19T20:21:23+00:00,0,core_rpc_inspection,,,[]
aerodrome,0x64728bE7aDa3EcA3Df0e5FC05Dc59B296B2899f0,2026-09-19T17:22:59+00:00,0,core_rpc_inspection,,,[]
aerodrome,0xfd616e10311Ac827FA953cA04f62Fb2B054d8Da6,2026-09-19T16:41:03+00:00,0,core_rpc_inspection,,,[]
aerodrome,0xfad967620C17Fea65d6b9674BA7224e822dcF3bE,2026-09-19T16:19:19+00:00,100,manual_review_current_configuration,True,2106-02-07T06:28:15+00:00,[]
aerodrome,0x8332E9B7d81e5F48e2FC38AEF5a77972FCd65F53,2026-09-19T16:17:27+00:00,100,manual_review_current_configuration,True,2106-02-07T06:28:15+00:00,[]
